id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
fund_investment_focus_label,Primary investment strategy or focus of the fund.,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
fund_reported_asset_value,"Total assets reported by the fund, typically in USD.","{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companybuy_side,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,0.5662,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companycountrycode,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companydominantcompanyorientation,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,0.6818,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companydominantcompanystyle,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companyeq_ind,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companyfi_ind,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,0.4603,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companyreportedequityassets,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,0.7101,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companyreportedtotalassets,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,0.4516,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_companystrategic,No field description,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,,0.5111,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_fundcountrycode,Three-letter code representing the country where the fund is registered or based.,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_funddominantfundstyle,Main investment style or strategy most associated with the fund.,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_fundportfolioturnover,Rate at which assets in the fund's portfolio are bought and sold over a period.,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_fundreportedequityassets,Total value of equity assets reported by the fund.,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
inst16_ipreo_fundreportedfixedincomeassets,Total value of fixed income assets reported by the fund.,"{'id': 'institutions16', 'name': 'Institutional Transactions'}","{'id': 'institutions', 'name': 'Institutions'}","{'id': 'institutions-ownership-models', 'name': 'Ownership Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],institutions16,Institutional Transactions,institutions,Institutions,institutions-ownership-models,Ownership Models
