id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
mdl172_1_gaigr,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8505,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_1_yftrcsd,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8606,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_1fcrfqe,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8653,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_1yf6501h,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_1yf9941h,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_1yf_5145h,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.7359,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_2_igaigr,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8307,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_2_yftrcsd,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8515,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_2fcrfqe,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8632,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_3_igaigr,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8033,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
