id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
gsxetrfs_description,Description of GSXETRFS tariff risk classification for the company.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
gsxetrfs_description_specialized,Specialized description of GSXETRFS tariff risk classification for the company.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
hedge_fund_num_owners_encr,"Number of hedge funds holding a position in the security, as calculated using ENCR methodology.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.5094,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
hedge_fund_pct_ownership_encr,"Percentage of shares outstanding held by hedge funds, as calculated using ENCR methodology.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.5094,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
liquidity_factor_crowding,Liquidity factor value used in crowding analysis for the security.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
liquidity_timeseries_crowding,Time series data representing the liquidity factor used in crowding analysis.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
market_cap_usd,Total market capitalization of the company in US dollars.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
raw_gsxetrfs_description,Raw description of GSXETRFS tariff risk classification for the company.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.0,0.9831,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
raw_gsxetrfs_description_specialized,Specialized raw description of GSXETRFS tariff risk classification for the company.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.0,0.7834,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_asu,The standardized or smoothed value of a company's exposure to the United States.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9176,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
